type_species,Species,Author,Subspecies,Common_name,Familyetc,sp#,changes
,Acanthodactylus aegyptius,BAHA EL DIN 2007,,G: Ägyptischer Fransenfinger,"Lacertidae, Eremiadinae, Sauria, Lacertoidea, Squamata (lizards)",10051,
,Acanthodactylus ahmaddisii,WERNER 2004,,G: Jordanischer Pantherfransenfinger,"Lacertidae, Eremiadinae, Sauria, Lacertoidea, Squamata (lizards)",10052,
,Acanthodactylus arabicus,BOULENGER 1918,,E: Arabian Fringe-fingered Lizard,"Lacertidae, Eremiadinae, Sauria, Lacertoidea, Squamata (lizards)",10053,
,Acanthodactylus aureus,GÜNTHER 1903,,"E: Golden Fringe-fingered Lizard
G: Gold-Fransenfinger","Lacertidae, Eremiadinae, Sauria, Lacertoidea, Squamata (lizards)",10054,
,Acanthodactylus bedriagai,LATASTE 1881,,E: Bedriaga's Fringe-fingered Lizard,"Lacertidae, Eremiadinae, Sauria, Lacertoidea, Squamata (lizards)",10055,
,Acanthodactylus beershebensis,"MORAVEC, EL DIN, SELIGMANN, SIVAN & WERNER 1999",,,"Lacertidae, Eremiadinae, Sauria, Lacertoidea, Squamata (lizards)",10056,
,Acanthodactylus blanci,DOUMERGUE 1901,,E: White Fringe-fingered Lizard,"Lacertidae, Eremiadinae, Sauria, Lacertoidea, Squamata (lizards)",10057,
,Acanthodactylus blanfordii,BOULENGER 1918,,E: Blanford's Fringe-fingered Lizard,"Lacertidae, Eremiadinae, Sauria, Lacertoidea, Squamata (lizards)",10058,
x,Acanthodactylus boskianus,(DAUDIN 1802),"Acanthodactylus boskianus asper (AUDOUIN 1829)
Acanthodactylus boskianus boskianus (DAUDIN 1802)
Acanthodactylus boskianus euphraticus BOULENGER 1919","E: Bosk's Fringe-fingered Lizard, Bosc’s Fringe-toed lizard
G: Boscs Fransenfinger
F: Acanthodactyle de Bosc","Lacertidae, Eremiadinae, Sauria, Lacertoidea, Squamata (lizards)",10059,
,Acanthodactylus boueti,CHABANAUD 1917,,E: Chabanaud's Fringe-fingered Lizard,"Lacertidae, Eremiadinae, Sauria, Lacertoidea, Squamata (lizards)",10060,
,Acanthodactylus busacki,SALVADOR 1982,,E: Busack's Fringe-fingered Lizard,"Lacertidae, Eremiadinae, Sauria, Lacertoidea, Squamata (lizards)",10061,
,Acanthodactylus cantoris,GÜNTHER 1864,,"E: Indian Fringe-fingered Lizard
G: Pakistanischer Fransenfinger, Indischer Fransenfinger","Lacertidae, Eremiadinae, Sauria, Lacertoidea, Squamata (lizards)",10062,
